user id: 00008b,start time: 1659797010558
timestamp,event message,last loaded scene,is eye tracking valid and enabled,eye gaze origin,eye gaze direction,eye gaze hit position,eye gaze target name,left hand index position,left hand palm position,right hand index position,right hand palm position,head gaze origin,head gaze direction,head gaze hit position,head gaze target name,3d model position,button 1 position,button 2 position,button 3 position,event
"1659797302201","Openning the timer.","04-Task2Scene","False","(-1.75, -0.28, -0.08)","(-0.26, -0.72, 0.65)","(-1.78, -0.36, -0.01)","Quad","(0.00, 0.00, 0.00)","(0.00, 0.00, 0.00)","null","null","(-1.75, -0.28, -0.08)","(-0.26, -0.72, 0.65)","(-1.78, -0.36, -0.01)","Quad","","","","","openning_timer"
"1659797309225","Button 2 pressed, playing animation 2.","04-Task2Scene","False","(-1.86, -0.18, 0.09)","(-0.51, -0.02, 0.86)","(0.00, 0.00, 0.00)","","(0.00, 0.00, 0.00)","(0.00, 0.00, 0.00)","(-2.04, -0.30, 0.70)","(-1.96, -0.33, 0.62)","(-1.86, -0.18, 0.09)","(-0.51, -0.02, 0.86)","(0.00, 0.00, 0.00)","","(-3.15, -0.57, 2.71)","(-2.15, -0.33, 0.53)","(-1.97, -0.33, 0.62)","","button2_pressed"
"1659797316247","Animation finished.","04-Task2Scene","False","(-2.01, -0.19, 0.51)","(-0.83, -0.18, 0.52)","(0.00, 0.00, 0.00)","","null","null","null","null","(-2.01, -0.19, 0.51)","(-0.83, -0.18, 0.52)","(0.00, 0.00, 0.00)","","(-3.55, -1.09, 1.55)","","","","animation_finished"
"1659797316247","Task 2 finished, loading task 3.","04-Task2Scene","False","(-2.01, -0.19, 0.51)","(-0.83, -0.18, 0.52)","(0.00, 0.00, 0.00)","","null","null","null","null","(-2.01, -0.19, 0.51)","(-0.83, -0.18, 0.52)","(0.00, 0.00, 0.00)","","(-3.55, -1.09, 1.55)","","","","task2_finished"
"1659797317448","Task 3 started, instatiating start instructions.","04-Task2Scene","False","(-2.01, -0.19, 0.51)","(-0.84, -0.16, 0.52)","(-2.09, -0.21, 0.56)","Quad","null","null","null","null","(-2.01, -0.19, 0.51)","(-0.84, -0.16, 0.52)","(-2.09, -0.21, 0.56)","Quad","(-3.57, -1.08, 1.52)","","","","task3_started"
"1659797317452","Instantiating instructions.","04-Task2Scene","False","(-2.01, -0.19, 0.51)","(-0.84, -0.16, 0.52)","(-2.09, -0.21, 0.56)","Quad","null","null","null","null","(-2.01, -0.19, 0.51)","(-0.84, -0.16, 0.52)","(-2.09, -0.21, 0.56)","Quad","(-3.57, -1.08, 1.52)","","","","showing_instructions"
"1659797327318","Instructions finished.","05-Task3Scene","False","(-1.82, -0.37, 0.38)","(0.92, -0.02, 0.39)","(-0.91, -0.39, 0.76)","Header Text","null","null","null","null","(-1.82, -0.37, 0.38)","(0.92, -0.02, 0.39)","(-0.91, -0.39, 0.76)","Header Text","","","","","instructions_finished"
"1659797328313","Start instructions finished.","05-Task3Scene","False","(-1.81, -0.37, 0.38)","(0.92, -0.03, 0.40)","(-1.72, -0.38, 0.42)","Quad","null","null","null","null","(-1.81, -0.37, 0.38)","(0.92, -0.03, 0.40)","(-1.72, -0.38, 0.42)","Quad","","","","",""
"1659797342688","Button 2 pressed, playing animation 2.","05-Task3Scene","False","(-1.75, -0.18, 0.16)","(0.34, 0.01, 0.94)","(0.00, 0.00, 0.00)","","null","null","(-1.45, -0.35, 0.70)","(-1.47, -0.38, 0.58)","(-1.75, -0.18, 0.16)","(0.34, 0.01, 0.94)","(0.00, 0.00, 0.00)","","(-0.50, -0.51, 2.83)","(-1.62, -0.32, 0.71)","(-1.51, -0.32, 0.66)","(-1.39, -0.32, 0.61)","button2_pressed"
"1659797350716","Animation finished.","05-Task3Scene","False","(-1.72, -0.28, 0.27)","(0.21, -0.80, 0.57)","(0.00, 0.00, 0.00)","","null","null","null","null","(-1.72, -0.28, 0.27)","(0.21, -0.80, 0.57)","(0.00, 0.00, 0.00)","","(-1.46, -2.22, 0.97)","","","","animation_finished"
"1659797351712","Instantiating middle instructions.","05-Task3Scene","False","(-1.72, -0.28, 0.26)","(0.23, -0.77, 0.60)","(-1.69, -0.36, 0.32)","Quad","null","null","null","null","(-1.72, -0.28, 0.26)","(0.23, -0.77, 0.60)","(-1.69, -0.36, 0.32)","Quad","(-1.44, -2.19, 1.01)","","","",""
"1659797351718","Instantiating instructions.","05-Task3Scene","False","(-1.72, -0.28, 0.26)","(0.23, -0.77, 0.60)","(-1.69, -0.36, 0.32)","Quad","null","null","null","null","(-1.72, -0.28, 0.26)","(0.23, -0.77, 0.60)","(-1.69, -0.36, 0.32)","Quad","(-1.44, -2.19, 1.01)","","","","showing_instructions"
"1659797359882","Instructions finished.","05-Task3Scene","False","(-1.61, -0.24, 0.14)","(0.82, -0.49, 0.30)","(-0.75, -0.75, 0.45)","Body Text","null","null","null","null","(-1.61, -0.24, 0.14)","(0.82, -0.49, 0.30)","(-0.75, -0.75, 0.45)","Body Text","","","","","instructions_finished"
"1659797360882","Middle instructions finished, starting the timer.","05-Task3Scene","False","(-1.66, -0.22, 0.18)","(0.66, -0.30, 0.69)","(-1.59, -0.25, 0.24)","Quad","null","null","null","null","(-1.66, -0.22, 0.18)","(0.66, -0.30, 0.69)","(-1.59, -0.25, 0.24)","Quad","","","","",""
"1659797360890","Openning the timer.","05-Task3Scene","False","(-1.66, -0.22, 0.18)","(0.66, -0.30, 0.69)","(-1.59, -0.25, 0.24)","Quad","null","null","null","null","(-1.66, -0.22, 0.18)","(0.66, -0.30, 0.69)","(-1.59, -0.25, 0.24)","Quad","","","","","openning_timer"
"1659797370928","User failed to press the button on time, instantaiting failed instructions.","05-Task3Scene","False","(-1.86, -0.28, 0.16)","(0.08, -0.56, 0.83)","(0.00, 0.00, 0.00)","","(-1.82, -0.53, 0.41)","(-1.92, -0.51, 0.43)","null","null","(-1.86, -0.28, 0.16)","(0.08, -0.56, 0.83)","(0.00, 0.00, 0.00)","","(-1.88, -1.84, 2.69)","(-1.98, -0.64, 0.61)","(-1.86, -0.64, 0.61)","(-1.73, -0.64, 0.61)","user_failed"
"1659797370928","Closing the timer.","05-Task3Scene","False","(-1.86, -0.28, 0.16)","(0.08, -0.56, 0.83)","(0.00, 0.00, 0.00)","","(-1.82, -0.53, 0.41)","(-1.92, -0.51, 0.43)","null","null","(-1.86, -0.28, 0.16)","(0.08, -0.56, 0.83)","(0.00, 0.00, 0.00)","","(-1.88, -1.84, 2.69)","(-1.98, -0.64, 0.61)","(-1.86, -0.64, 0.61)","(-1.73, -0.64, 0.61)","closing_timer"
"1659797371963","Instantiating instructions.","05-Task3Scene","False","(-1.74, -0.50, 0.45)","(-0.05, -0.82, 0.56)","(-1.75, -0.63, 0.54)","Quad","null","null","(-1.64, -0.79, 0.58)","(-1.59, -0.81, 0.53)","(-1.74, -0.50, 0.45)","(-0.05, -0.82, 0.56)","(-1.75, -0.63, 0.54)","Quad","(-1.86, -2.61, 2.26)","","","","showing_instructions"
"1659797380076","Instructions finished.","05-Task3Scene","False","(-1.84, -0.41, 0.04)","(0.98, -0.11, -0.14)","(-0.83, -0.53, -0.10)","Body Text","null","null","null","null","(-1.84, -0.41, 0.04)","(0.98, -0.11, -0.14)","(-0.83, -0.53, -0.10)","Body Text","","","","","instructions_finished"
"1659797381083","Reseting all buttons.","05-Task3Scene","False","(-1.83, -0.40, 0.05)","(0.93, -0.04, -0.36)","(-1.73, -0.41, 0.01)","Quad","null","null","null","null","(-1.83, -0.40, 0.05)","(0.93, -0.04, -0.36)","(-1.73, -0.41, 0.01)","Quad","","","","",""
"1659797418883","Button 2 pressed, playing animation 2.","05-Task3Scene","False","(-1.80, -0.16, 0.19)","(-0.86, 0.19, 0.47)","(0.00, 0.00, 0.00)","","null","null","(-2.25, -0.17, 0.49)","(-2.15, -0.22, 0.51)","(-1.80, -0.16, 0.19)","(-0.86, 0.19, 0.47)","(0.00, 0.00, 0.00)","","(-4.13, 0.11, 1.96)","(-2.35, -0.18, 0.36)","(-2.28, -0.18, 0.46)","(-2.19, -0.18, 0.56)","button2_pressed"
"1659797426943","Animation finished.","05-Task3Scene","False","(-1.80, -0.17, 0.01)","(0.25, 0.88, -0.40)","(0.00, 0.00, 0.00)","","null","null","null","null","(-1.80, -0.17, 0.01)","(0.25, 0.88, -0.40)","(0.00, 0.00, 0.00)","","(-1.08, 1.31, -1.17)","","","","animation_finished"
"1659797427984","Instantiating middle instructions.","05-Task3Scene","False","(-1.81, -0.17, 0.05)","(0.30, 0.87, -0.40)","(-1.78, -0.08, 0.01)","Quad","null","null","null","null","(-1.81, -0.17, 0.05)","(0.30, 0.87, -0.40)","(-1.78, -0.08, 0.01)","Quad","(-1.05, 1.31, -1.18)","","","",""
